DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),CLOSE_DEF_DIST(ft),FGM,pca_x,pca_y,mds_x,mds_y
0,0.8,22.6,6.9,0,-13.42138077,17.85809046,0.033655701,-0.293338095
0,0.8,23.2,5.5,0,-13.93421966,18.28476895,-0.010046182,-0.282593506
0,0.9,21.9,4.2,0,-13.13217274,17.33272423,-0.022451894,-0.232750618
1,3.6,7.9,3.1,0,-2.184214458,8.352300359,0.029847494,0.140799318
1,3.6,6.4,2.3,0,-1.283708389,7.194080652,0.036551789,0.189370705
0,0.8,20.9,1.3,0,-12.81730362,16.44554607,-0.106261626,-0.173017243
5,4.1,13.2,4.6,0,-5.341617764,12.53309425,-0.111507083,0.033446931
1,2,24,5.8,0,-13.57916511,19.62403068,-0.050433654,-0.285504616
10,9.8,12.9,3.4,0,-1.247318409,15.70654242,-0.398957012,0.155141772
0,0.8,15.6,5.5,0,-9.011954155,12.50272906,0.076168835,-0.106696432
1,2.7,10.6,2.3,0,-4.68291473,9.807493705,0.02997262,0.080684905
0,0.8,24,2.1,0,-14.75407611,18.82103733,-0.12346405,-0.263964137
3,2.9,6.6,0.5,0,-2.218649101,6.752001039,0.005470427,0.222597278
2,2,16.3,3.5,0,-8.855017367,13.66529778,-0.014038993,-0.067780402
2,4.2,17.5,5,0,-7.839309148,16.03266104,-0.08236971,-0.089661444
10,7.7,24.7,3.8,0,-10.43863605,23.33460946,-0.441838371,-0.151245566
0,0.9,24.1,4.2,0,-14.55703907,19.00647262,-0.056094285,-0.284547974
1,1.9,22.8,4.2,0,-13.01939792,18.61236345,-0.065657741,-0.235195879
0,0.7,22.5,7.8,0,-13.35219143,17.73650875,0.061233804,-0.311067208
2,2.8,10.5,5.6,0,-4.308631354,9.814652369,0.041893782,0.036672113
1,2,23.3,7.6,0,-12.96606272,19.12978653,0.034546762,-0.312668771
28,21,7.6,1.7,0,9.42632182,17.95001314,-0.902153604,0.876905639
0,0,4.7,2.3,0,-2.839925722,3.624689614,0.18309272,0.194094531
0,1,20.5,6.7,0,-11.92813908,16.38548125,0.047556981,-0.238392911
0,0.1,4.1,0.9,0,-2.500119573,3.203072749,0.180752648,0.24373012
2,6.1,4.8,3.2,0,1.659778934,7.56076378,-0.061711703,0.258242845
0,1,16.2,5.6,0,-9.24078941,13.09065096,0.066929704,-0.120147076
0,1.4,1.7,1.3,0,0.070564775,2.226237245,0.157457302,0.298233727
1,1.3,5.2,1.7,0,-2.294993912,4.781215157,0.116914717,0.206443629
2,2,6.8,1.3,0,-2.897418164,6.390921945,0.059524285,0.18600556
0,0.9,14.4,9.5,0,-7.804340604,11.73957182,0.20673333,-0.162467166
